Месяц,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
1,ДЦР,ОДЦ,"1,1",Количество подъездов М2 (на начало),0,0
1,ДЦР,ОДЦ,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДЦР,ОДЦ,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДЦР,ОДЦ,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДЦР,ОДЦ,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДЦР,ОДЦ,"1,4",Потенциал М2 (на начало),397,397
1,ДЦР,ОДЦ,"2,1",Количество подъездов за период,0,0
1,ДЦР,ОДЦ,"2,2",Количество квартир в подъездах за период,0,0
1,ДЦР,ОДЦ,"2,3",Количество голосов ЗА в подъездах за период,0,0
1,ДЦР,ОДЦ,"2,4",Количество контактов в подъездах за период,0,0
1,ДЦР,ОДЦ,"3,1",ПЛАТНЫХ в подъездах за период,0,0
1,ДЦР,ОДЦ,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
1,ДЦР,ОДЦ,"3,3",Выручка в подъездах за период,NULL,NULL
1,ДЦР,ОДЦ,"3,4",Всего ключей в подъездах за период,0,0
1,ДЦР,ОДЦ,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
1,ДЦР,ОДЦ,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
1,ДЦР,ОДЦ,"4,1",Соглашений БСУД в подъездах за период,0,0
1,ДЦР,КЛН,"1,1",Количество подъездов М2 (на начало),0,0
1,ДЦР,КЛН,"1,2",Количество квартир в подъездах М2 (на начало),0,0
1,ДЦР,КЛН,"1,3",Количество абонентов БСУД (на начало),0,0
1,ДЦР,КЛН,"1,3,1",Количество соглашений БСУД (на начало),0,0
1,ДЦР,КЛН,"1,3,2",Количество абонентов ДМС (на начало),0,0
1,ДЦР,КЛН,"1,4",Потенциал М2 (на начало),845,845
1,ДЦР,КЛН,"2,1",Количество подъездов за период,0,0
1,ДЦР,КЛН,"2,2",Количество квартир в подъездах за период,0,0
