Неделя,ДР,Имя сервера,Номер,Показатель,Myhome,Спутник
12,ДВР,КМР,"1,1",Количество подъездов М2 (на начало),0,2
12,ДВР,КМР,"1,2",Количество квартир в подъездах М2 (на начало),0,84
12,ДВР,КМР,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДВР,КМР,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДВР,КМР,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДВР,КМР,"1,4",Потенциал М2 (на начало),690,690
12,ДВР,КМР,"2,1",Количество подъездов за период,0,1
12,ДВР,КМР,"2,2",Количество квартир в подъездах за период,0,36
12,ДВР,КМР,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДВР,КМР,"2,4",Количество контактов в подъездах за период,0,35
12,ДВР,КМР,"3,1",ПЛАТНЫХ в подъездах за период,0,39
12,ДВР,КМР,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,35
12,ДВР,КМР,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДВР,КМР,"3,4",Всего ключей в подъездах за период,0,74
12,ДВР,КМР,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,1
12,ДВР,КМР,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДВР,КМР,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДВР,НВС,"1,1",Количество подъездов М2 (на начало),0,0
12,ДВР,НВС,"1,2",Количество квартир в подъездах М2 (на начало),0,0
12,ДВР,НВС,"1,3",Количество абонентов БСУД (на начало),0,0
12,ДВР,НВС,"1,3.1",Количество соглашений БСУД (на начало),0,0
12,ДВР,НВС,"1,3,2",Количество абонентов ДМС (на начало),0,0
12,ДВР,НВС,"1,4",Потенциал М2 (на начало),1824,1824
12,ДВР,НВС,"2,1",Количество подъездов за период,0,0
12,ДВР,НВС,"2,2",Количество квартир в подъездах за период,0,0
12,ДВР,НВС,"2,3",Количество голосов ЗА в подъездах за период,0,0
12,ДВР,НВС,"2,4",Количество контактов в подъездах за период,0,0
12,ДВР,НВС,"3,1",ПЛАТНЫХ в подъездах за период,0,0
12,ДВР,НВС,"3,2",БЕСПЛАТНЫХ в подъездах за период,0,0
12,ДВР,НВС,"3,3",Выручка в подъездах за период,NULL,NULL
12,ДВР,НВС,"3,4",Всего ключей в подъездах за период,0,0
12,ДВР,НВС,"3,5",Ключей ПЛАТНЫХ в подъездах ПОСЛЕ М2,0,0
12,ДВР,НВС,"3,6",Ключей БЕСПЛАТНЫХ  в подъездах ПОСЛЕ М2,0,0
12,ДВР,НВС,"4,1",Соглашений БСУД в подъездах за период,0,0
12,ДВР,ЧЛБ,"1,1",Количество подъездов М2 (на начало),437,0
