director,season,episode,runtime,imdb_rate,users_count,age_warning,genre,date_aired
Adam Bernstein,1,1,24,8.5,1854,16,"Comedy, Drama",2001-10-02
Adam Bernstein,1,2,24,8.2,1387,16,"Comedy, Drama",2001-10-04
Adam Bernstein,1,3,24,8,1291,16,"Comedy, Drama",2001-10-09
Marc Buckland,1,4,24,9.2,2006,16,"Comedy, Drama",2001-10-16
Craig Zisk,1,5,24,8.2,1191,16,"Comedy, Drama",2001-10-23
Marc Buckland,1,6,24,8.2,1168,16,"Comedy, Drama",2001-10-30
Peter Lauer,1,7,24,8.1,1136,16,"Comedy, Drama",2001-11-06
Lawrence Trilling,1,8,24,8.2,1122,16,"Comedy, Drama",2001-11-15
Elodie Keene,1,9,24,8.1,1091,16,"Comedy, Drama",2001-11-20
Matthew Diamond,1,10,24,8.1,1100,16,"Comedy, Drama",2001-11-27
Jeff Melman,1,11,24,7.9,1126,16,"Comedy, Drama",2001-12-11
Marc Buckland,1,12,24,8.2,1062,16,"Comedy, Drama",2002-01-08
Michael Spiller,1,13,24,7.9,1042,16,"Comedy, Drama",2002-01-15
Michael Spiller,1,14,24,8.2,1069,16,"Comedy, Drama",2002-01-22
Lawrence Trilling,1,15,24,8.5,1190,16,"Comedy, Drama",2002-02-05
Will Mackenzie,1,16,24,7.9,1003,16,"Comedy, Drama",2002-02-26
Matthew Diamond,1,17,24,8,1008,16,"Comedy, Drama",2002-03-05
Lawrence Trilling,1,18,24,7.9,1000,16,"Comedy, Drama",2002-03-12
Adam Bernstein,1,19,24,8.1,1003,16,"Comedy, Drama",2002-04-09
Adam Bernstein,1,20,24,8,956,16,"Comedy, Drama",2002-04-16
Marc Buckland,1,21,24,7.8,959,16,"Comedy, Drama",2002-04-30
Lawrence Trilling,1,22,24,9.1,1391,16,"Comedy, Drama",2002-05-07
Michael Spiller,1,23,24,8.8,1155,16,"Comedy, Drama",2002-05-14
Michael Spiller,1,24,24,8.8,1040,16,"Comedy, Drama",2002-05-21
Adam Bernstein,2,1,24,8.7,1143,16,"Comedy, Drama",2002-09-26
Craig Zisk,2,2,24,7.9,909,16,"Comedy, Drama",2002-10-03
Michael Spiller,2,3,24,8,879,16,"Comedy, Drama",2002-10-10
Paul Quinn,2,4,24,7.9,875,16,"Comedy, Drama",2002-10-17
Marc Buckland,2,5,24,8,858,16,"Comedy, Drama",2002-10-24
Michael Spiller,2,6,24,8,867,16,"Comedy, Drama",2002-10-31
Lawrence Trilling,2,7,24,8,849,16,"Comedy, Drama",2002-11-07
Ken Whittingham,2,8,24,8.3,875,16,"Comedy, Drama",2002-11-14
Lawrence Trilling,2,9,24,8.1,875,16,"Comedy, Drama",2002-12-05
Gail Mancuso,2,10,24,8.2,888,16,"Comedy, Drama",2002-12-12
Will Mackenzie,2,11,24,8.3,873,16,"Comedy, Drama",2003-01-02
Chris Koch,2,12,24,8.1,847,16,"Comedy, Drama",2003-01-09
Chris Koch,2,13,24,8.6,999,16,"Comedy, Drama",2003-01-16
Michael Spiller,2,14,24,8,844,16,"Comedy, Drama",2003-01-23
Ken Whittingham,2,15,24,8.7,948,16,"Comedy, Drama",2003-01-30
Marc Buckland,2,16,24,8.1,818,16,"Comedy, Drama",2003-02-06
Marc Buckland,2,17,24,8,817,16,"Comedy, Drama",2003-03-13
Adam Bernstein,2,18,24,8.6,924,16,"Comedy, Drama",2003-03-20
Michael Spiller,2,19,24,8,794,16,"Comedy, Drama",2003-03-27
Will Mackenzie,2,20,24,8.3,847,16,"Comedy, Drama",2003-04-03
Michael Spiller,2,21,24,8.1,799,16,"Comedy, Drama",2003-04-10
Bill Lawrence,2,22,24,8.6,917,16,"Comedy, Drama",2003-04-17
Bill Lawrence,3,1,24,8.2,831,16,"Comedy, Drama",2003-10-02
Michael Spiller,3,2,24,7.9,820,16,"Comedy, Drama",2003-10-09
Michael Spiller,3,3,24,8,820,16,"Comedy, Drama",2003-10-23
John Inwood,3,4,24,8.1,793,16,"Comedy, Drama",2003-10-30
Marc Buckland,3,5,24,8.2,797,16,"Comedy, Drama",2003-11-06
Gail Mancuso,3,6,24,8,779,16,"Comedy, Drama",2003-11-13
Ken Whittingham,3,7,24,8.5,841,16,"Comedy, Drama",2003-11-20
Ken Whittingham,3,8,24,8.3,789,16,"Comedy, Drama",2003-12-04
Chris Koch,3,9,24,8,762,16,"Comedy, Drama",2003-12-11
Craig Zisk,3,10,24,7.9,753,16,"Comedy, Drama",2004-01-22
Chris Koch,3,11,24,8,753,16,"Comedy, Drama",2004-02-03
Michael Spiller,3,12,24,9,1076,16,"Comedy, Drama",2004-02-10
Adam Bernstein,3,13,24,8.7,939,16,"Comedy, Drama",2004-02-17
Chris Koch,3,14,24,9.8,4464,16,"Comedy, Drama",2004-02-24
Craig Zisk,3,15,24,8.1,801,16,"Comedy, Drama",2004-03-02
Henry Chan,3,16,24,8.8,970,16,"Comedy, Drama",2004-03-16
Gail Mancuso,3,17,24,8.1,736,16,"Comedy, Drama",2004-03-30
Jason Ensler,3,18,24,8.1,752,16,"Comedy, Drama",2004-04-06
Adam Bernstein,3,19,24,8.3,777,16,"Comedy, Drama",2004-04-20
Richard A. Wells (as Richard Alexander Wells),3,20,24,8.4,755,16,"Comedy, Drama",2004-04-22
Randall Keenan Winston (as Randall Winston),3,21,24,8.3,773,16,"Comedy, Drama",2004-04-27
Bill Lawrence,3,22,24,8.6,834,16,"Comedy, Drama",2004-05-04
Bill Lawrence,4,1,24,8.5,786,16,"Comedy, Drama",2004-08-31
Gail Mancuso,4,2,24,8.3,732,16,"Comedy, Drama",2004-09-07
