ik_num	reg	tik	prel_voters	10.00	12.00	15.00	18.00	url
1	Республика Адыгея (Адыгея)	1 Адыгейская	11665	0.723	0.7487999999999999	0.7888	0.8210999999999999	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
2	Республика Адыгея (Адыгея)	2 Гиагинская	23678	0.757	0.7936	0.8268000000000001	0.8534	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
3	Республика Адыгея (Адыгея)	3 Кошехабльская	21814	0.7733	0.7895	0.8168000000000001	0.8487	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
4	Республика Адыгея (Адыгея)	4 Красногвардейская	21085	0.6873999999999999	0.7341	0.7831	0.838	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
5	Республика Адыгея (Адыгея)	5 Майкопская районная 	46167	0.6555	0.6897	0.7065	0.7315999999999999	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
6	Республика Адыгея (Адыгея)	6 Майкопская городская	131080	0.6577	0.6807	0.7059000000000001	0.7345	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
7	Республика Адыгея (Адыгея)	7 Тахтамукайская 	59917	0.7132999999999999	0.7345999999999999	0.7615000000000001	0.7943000000000001	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
8	Республика Адыгея (Адыгея)	8 Теучежская	13173	0.7834	0.7974	0.8251000000000001	0.8493999999999999	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
9	Республика Адыгея (Адыгея)	9 Шовгеновская	11804	0.7492	0.7704000000000001	0.8045	0.8449	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000001&tvd=100100163596970&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596970
1	Республика Алтай	1 Горно-Алтайская городская	44181	0.3081	0.3368	0.3772	0.3973	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
2	Республика Алтай	2 Кош-Агачская	14616	0.5636	0.5714	0.5792	0.6001	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
3	Республика Алтай	3 Майминская	23892	0.3259	0.35009999999999997	0.3795	0.3994	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
4	Республика Алтай	4 Онгудайская	11576	0.555	0.575	0.5924	0.6137	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
5	Республика Алтай	5 Турочакская	10619	0.34950000000000003	0.3829	0.4071	0.4307	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
6	Республика Алтай	6 Улаганская	8513	0.4855	0.4999	0.5292	0.5550999999999999	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
7	Республика Алтай	7 Усть-Канская	11251	0.5903	0.6075	0.6275999999999999	0.6439	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
8	Республика Алтай	8 Усть-Коксинская	12184	0.4489	0.4779	0.5107	0.5399	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
9	Республика Алтай	9 Чемальская	8372	0.4122	0.43689999999999996	0.45880000000000004	0.47740000000000005	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
10	Республика Алтай	10 Чойская	6502	0.5097	0.5251	0.5392	0.5567	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
11	Республика Алтай	11 Шебалинская	10510	0.4924	0.5107	0.542	0.5722	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000002&tvd=100100163596971&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163596971
1	Республика Башкортостан	1 Абзелиловская	34098	0.7145999999999999	0.7698999999999999	0.8104	0.86	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
2	Республика Башкортостан	2 Агидельская городская	12350	0.5796	0.6547	0.7384999999999999	0.8894	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
3	Республика Башкортостан	3 Альшеевская	31869	0.7492	0.7998999999999999	0.8678	0.9389	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
4	Республика Башкортостан	4 Архангельская	15015	0.7898999999999999	0.8128	0.8473	0.9053	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
5	Республика Башкортостан	5 Аскинская	16665	0.75	0.7863	0.8761	0.8761	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
6	Республика Башкортостан	6 Аургазинская	27450	0.7442	0.7684000000000001	0.8062	0.8471	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
7	Республика Башкортостан	7 Баймакская	42099	0.7299	0.7789	0.8317	0.8745	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
8	Республика Башкортостан	8 Бакалинская	21785	0.7526999999999999	0.8181	0.9151	0.9486	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
9	Республика Башкортостан	9 Балтачевская	16036	0.774	0.8072	0.8556999999999999	0.902	http://www.vybory.izbirkom.ru/region/izbirkom?action=show&global=true&root=1000003&tvd=100100163598012&vrn=100100163596966&prver=0&pronetvd=null&region=0&sub_region=0&type=0&vibid=100100163598012
